한글,영어,일어
"자성합금, 자기합금",magnetic alloy,磁?合金
자기증폭기,magnetic amplifier, 磁氣增幅器
자기적 비등방성,magnetic anisotropy, 磁氣異方性
자기 불림 효과,magnetic annealing effect, 磁場中冷却 ?果
자기 저울,magnetic balance, 磁氣てんびん
자기 겹꺾임성,magnetic birefringence, 磁氣複屈折
"자기적 와해, 자기적 깨짐",magnetic breakdown, マグネティックブレ?クダウン(磁氣貫通)
자기 거품,magnetic bubble, 磁氣バブル
"자하, 자기량, 자기전하",magnetic charge, 磁 荷 / 磁氣量
"자기흐름길, 자기회로",magnetic circuit, 磁氣回路
나침반,magnetic compass,羅針盤
자기 가둠,magnetic confinement, 磁氣閉め
자기냉각,magnetic cooling,磁?冷却
자기속쇠,magnetic core, 磁 心
자기 결정급,magnetic crystal class, 磁氣結晶族
"자기류, 자기흐름",magnetic current,
"자기편각, 자기 기움각",magnetic declination,磁?偏角
자기쏠림 질량 분석계,magnetic deflection mass spectrometer, 磁場偏向型質量分析計
복각,magnetic dip, 伏 角【地磁氣】
자기쌍극(자),magnetic dipole, 磁氣雙極子
"자기쌍극(자) 서로작용, 자기쌍극(자) 상호작용",magnetic dipole interaction, 磁氣雙極子相互作用
자기쌍극자모멘트,magnetic dipole moment,磁??極子モ?メント
자기쌍극(자) 내비침,magnetic dipole radiation, 磁氣雙極放射
자기쌍극자 전이,magnetic dipole transition, 磁氣雙極遷移
자기 교란,magnetic disturbance, 磁氣じょう【擾】亂
"자기적 구역, 자기구역",magnetic domain, 磁 區
자기 구역벽,magnetic domain walls, 磁 壁
"자기 이중층, 자기 두겹켜",magnetic double layer, 磁氣二重層
"자기적 복굴절, 자기적 겹꺾임",magnetic double refraction,
자기 요소,magnetic element,磁?要素
자기에너지,magnetic energy, 磁氣エネルギ?
자기에너지 밀도,magnetic energy density,磁?エネルギ?密度
자기 엔트로피,magnetic entropy, 磁氣エントロピ?
자기마당,magnetic field, 磁 場【理學】 / 磁 界【工學】
"자기마당세기, 자기장세기",magnetic field strength, 磁場强度 / 磁場の强さ
자기마당벡터,magnetic field vector, 磁場ベクトル
자성 흐름체,magnetic fluid, 磁性流體
"자기선속, 자기다발",magnetic flux, 磁 束
자기 다발 압축,magnetic flux compression, 磁束濃縮
"자기선속밀도, 자기다발밀도",magnetic flux density, 磁束密度
거시적 양자화,magnetic flux diffusivity, 磁束擴散係數
자기다발관,magnetic flux tube, 磁束管
자기 다발 재개,magnetic fluxmeter, 磁束計
"자기집속, 자기모음",magnetic focusing,
"자기힘, 자기력",magnetic force,磁力
자기 형태 인자,magnetic form factor, 磁氣形狀因子
"자기이력, 자기겪음",magnetic hysteresis, 磁氣ヒステリシス
자기 겪음 고리,magnetic hysteresis loop, 磁氣ヒステリシス曲線
자기 불순물,magnetic impurity, 磁氣的不純物
"자기유도, 자기이끎",magnetic induction, 磁氣誘導
자기이끎다발,magnetic induction flux, 磁氣誘導束
자기 이온,magnetic ion, 磁性イオン
자기 케르 효과,magnetic Kerr effect, 磁氣カ? ?果
"자기 새나감, 자기 누설",magnetic leakage,磁?漏洩
자기렌즈,magnetic lens, 磁界レンズ
자기렌즈 분광기,magnetic lens spectrometer,磁界レンズ分光器
자기력선,magnetic line of force, 磁力線
자기 손실,magnetic loss, 磁氣損失
자성물질,magnetic material, 磁性體
자기 자오선,magnetic meridian, 磁氣子午線
자기거울,magnetic mirror, 磁氣鏡
자기변조,magnetic modulation, 磁氣變調
자기모멘트,magnetic moment, 磁氣モ?メント
자기홀극,magnetic monopole, (1)單磁極 (2)磁氣單極子
"자침, 자기바늘",magnetic needle, 磁 針
자기북극,magnetic north pole,
자기적 질서,magnetic order, 磁氣秩序
자기혼들이,magnetic pendulum, 磁氣振り子
"투자율, 자기 투과도",magnetic permeability, 透磁率
"자기조임효과, 자기 핀치효과",magnetic pinch effect,
자기 점군,magnetic point group, 磁氣點群
"자기편극능, 자기극갈림율",magnetic polarizability,磁?分極能
자기편극,magnetic polarization, 磁氣分極
"자기 극성알, 자기 폴라론",magnetic polaron, 磁性ポ?ラロン
자기극,magnetic pole, 磁 極
자기퍼텐셜,magnetic potential, 磁 位(磁氣ポテンシャル)
자기마당 탐침,magnetic probe, 磁氣探針
자기사중극(자),magnetic quadrupole,
자기양자수,magnetic quantum number, 磁氣量子數
자기선 재결합,magnetic reconnection, 磁力線の結びかえ
자기기록,magnetic recording, 磁氣記錄
자기 풀림,magnetic relaxation, 磁氣緩和
"자기공명, 자기껴울림",magnetic resonance,磁?共鳴
자기 레이놀드수,magnetic Reynolds number, 磁氣レイノルズ數
자기 강성(률),magnetic rigidity,
자기 돌기 분산,magnetic rotatory dispersion, 磁氣回轉分散
"자기 포화, 자기 꽉참",magnetic saturation, 磁氣飽和
자기가리기,magnetic screening, 磁氣遮蔽
자기 가리기 작용,magnetic screening action,
자기 반도체,magnetic semiconductor, 磁性半導體
"자기 켜밀림, 자기 층밀리기",magnetic shear,
자기 껍질,magnetic shell, 磁 殼(磁氣二重層)
자기 가려막기,magnetic shielding, 磁氣遮蔽
자기 솔레노이드,magnetic solenoid,
자기남극,magnetic southern pole,
자기 공간군,magnetic space group, 磁氣空間群
자석젓개,magnetic stirrer,
자기폭풍,magnetic storm, 磁氣あらし
자기 구조,magnetic structure, 磁氣構造
자성체,magnetic substance, 磁性體
자성 초전도체,magnetic superconductor, 磁性超傳導體
자기 표면,magnetic surface, 磁氣面
자기 감수율,magnetic susceptibility, 磁化率
자기 얇은막,magnetic thin film, 磁性薄膜
자기 돌림힘,magnetic torque, 磁氣トルク
자기 변환,magnetic transformation, 磁氣變態
자기 전이,magnetic transition, 磁氣轉移
자기 변광성,magnetic variable, 磁變星
자성 속쓸림,magnetic viscosity, 磁氣粘性
자기 우물,magnetic well, 磁氣井戶
자기학,magnetics, 磁氣學
"자성, 자기",magnetism, (1)磁 氣 (2)磁 性 (3)磁氣學
자철광,magnetite,
자기화,magnetization, 磁 化
자기화곡선,magnetization curve, 磁化曲線
자기화전류,magnetizing current, 磁化電流
자기화 모멘트,magnetizing moment, 磁化モ?メント
자기플라스마 진동수,magneto plasma frequency,磁?プラズマ振動?
자기음향 효과,magnetoacoustic effect, 磁氣音響 ?果
심자도,magnetocardiogram, 心磁計
자기 원편광 두색깔성,magnetocircular dichroism, 磁氣円偏光二色性
자기 전도도,magnetoconductivity,
자기결정이방성,magnetocrystalline anisotropy, 結晶磁氣異方性
자기다이오드,magnetodiode, 磁氣ダイオ?ド
자기동역학,magnetodynamics,磁?動力?
"자기튐성결합, 자기탄성결합",magnetoelastic coupling,磁??性結合
자기 튐성파,magnetoelastic wave, 磁氣彈性波
자기 전기 효과,magnetoelectric effect, 電氣磁氣 ?果
자성-흐름체,magneto-fluid, 電磁流體
자기회전비,magnetogyric ratio,磁?回?率
"자기유체역학적 평형, 자기유체역학적 비김",magnetohydrodynamic equilibrium,
자기유체역학발전기,magnetohydrodynamic generator,
자기유체역학적 불안정성,magnetohydrodynamic instabilitiy, 電磁流體力學的不安定性
"자기유체발전, MHD 발전",magnetohydrodynamic power generation,
자기유체역학파동,magnetohydrodynamical wave,磁?流?力?波
자기유체역학,magnetohydrodynamics, 電磁流體力學 / 磁氣流體力學
자기 역학 인자,magnetomechanical factor, 磁氣力學因子
"자력계, 자기재개",magnetometer, 磁力計
기자력,magnetomotive force, 起磁力
"자기량, 마그네톤",magneton, 磁 子 / マグネトン
마그네톤수,magneton number,
자기광학 효과,magneto-optic effect, 磁氣光學 ?果
자기광학,magneto-optics, 磁氣光學
자기 떨림 흡수,magneto-oscillatory absorption, 磁氣振動吸收
자기플라스마 떨기수,magnetoplasma frequency,
자기-플라즈마파,magneto-plasma wave, 磁氣プラズマ波
자기 되비침,magnetoreflection, 磁氣反射
자기저항 효과,magnetoresistance effect,磁?抵抗?果
자기 회전,magnetorotation, 磁氣旋光
정자기 방식,magnetostatic mode, 靜磁モ?ド
정자기퍼텐셜,magnetostatic potential,?磁ポ?テンシャル
정자기학,magnetostatics, 靜磁氣學
자기 변형,magnetostriction, 磁氣ひずみ
자기 변형 효과,magnetostrictive effect, 磁氣ひずみ ?果
자기변형떨개,magnetostrictive oscillator, 磁氣ひずみ振動子
자기열효과,magnetothermal effect, 磁氣熱 ?果
자기부피 효과,magneto-volume effect, 磁氣體積 ?果
마그네트론,magnetron, マグネトロン
마그네트론 진공계,magnetron vacuum gauge, マグネトロンゲ?ジ
"커짐, 커짐률, 확대, 배율",magnification, 倍 率
"돋보기, 확대경",magnifying glass, 蟲めがね(蟲眼鏡)
"확대능, 배율",magnifying power,倍率
"크기, 등급",magnitude,等級
힘의 크기,magnitude of force,
별의 등급,magnitude of star,
"자성알, 마그논",magnon, マグノン
자성알 흩뜨림,magnon scattering, マグノン散亂
마그누스 효과,Magnus effect, マグヌス ?果
주계열 별,main-sequence star, 主系列星
긴축,major axis,
"주눈금, 장음계",major scale,
마요라나 마당,Majorana field, マヨラナ場
마요라나 힘,Majorana force, マヨラナ力
"마요라나 서로작용, 마요라나 상호작용",Majorana interaction,
마요라나 알갱이,Majorana particle, マヨラナ粒子
마요라나 스피너,Majorana spinor, マヨラナスピノル
다수 나르개,majority carrier, 多數キャリヤ?
"전성, 펴늘림성",malleability,
말터 효과,Malter effect, マルタ??果
말루스의 법칙,Malus' law, マリュスの法則
만델스탐 나툼,Mandelstam representation, マンデルスタム表示
만델스탐 변수,Mandelstam variable, マンデルスタム變數
"뭇겹, 다양체",manifold, 多樣體
다루기,manipulation,
"(액주) 압력계, 압력재개",manometer, 壓力計
맨틀,mantle, マントル
여러파동 어림법,many wave approximation, 多波近似
다체 힘,many-body force, 多體力
다체문제,many-body problem, 多體問題
많은 선 빛띠,many-line spectrum, 多線スペクトル
뭇알갱이 상관관계,many-particle correlation, 多粒子相關
"뭇알갱이계, 다입자계",many-particle system,
다시간 이론,many-time theory, 多時間理論
다세계 해석,many-world interpretation,
"사상, 본뜨기",mapping, 寫 像
주변분포,marginal distribution,
"한계떨개, 겨우떨개",marginal oscillator,
주변광선,marginal ray,
겨우변수,marginal variable,
겨우끼침,marginally relevant,
겨우 거친 경계면,marginally rough interface,
표선,marked line, 標 線
마코프 사슬,Markoff chain, マルコフ鎖
화성,Mars,火星
마텐사이트,martensite, マルテンサイト
마텐사이트 변환,martensitic transformation, マルテンサイト變態
마아틴 구역,Martin domain, マルタン領域
메이저,maser, メ?ザ一
마슬로프의 정리,Maslov's theorem, マ?スロフの定理
질량,mass, 質 量
질량흡수곁수,mass absorption coefficient, 質量吸收係數【X線の】
질량작용법칙,mass action law,質量作用の法則
질량결손,mass defect, 質量缺損
질량이중항,mass doublet,
질량과잉,mass excess,質量過?
질량거르개,mass filter, マスフィルタ?
질량 흐름율,mass flow rate,
질량유량계,mass flowmeter, 質量流量計
질량공식,mass formula, 質量公式
질량 법칙,mass law, 質量則
질량수,mass number, 質量數
질량 포물선,mass parabola, 質量放物線
질량 극갈림 보정,mass polarization correction, 質量のかたよりによる補正 .
"질량복사, 질량내비침",mass radiation,
질량 되틀맞춤,mass renormalization, 質量のくりこみ
질량 껍질,mass shell, マスシェル
질량분석(사진)기,mass spectrograph, 質量分析器
질량분석계,mass spectrometer, 質量分析計
질량분석법,mass spectrometry, 質量分析法
질량분석기,mass spectroscope,質量分析器
"질량분석법, 질량분석학",mass spectroscopy, 質量分析
질량빛띠,mass spectrum, 質量スペクトル
질량표준,mass standard,
질량싱크로미터,mass synchrometer,
질량전달,mass transfer,
질량단위,mass unit, 質量單位
"질량-에너지 동등성, 질량-에너지 등가",mass-energy equivalence,
질량-에너지 관계(식),mass-energy relation,質量とエネルギ?の?係
마세이 판별기준,Massey criterion, マッセイの判別基準
"민질량 알갱이, 질량없는 입자",massless particle,
질량-광도 관계,mass-luminosity relation, 質量光度關係
으뜸방정식,master equation, マスタ?方程式
금속결합,matallic bond,金屬結合
물질상수,material constant, 物質定數
"질점입자, 물질알갱이",material particle, 質 點
수리 결정학,mathematical crystallography, 數理結晶學
수학적 귀납법,mathematical induction,
수리물리학,mathematical physics, 數理物理學
수학적 관계(식),mathematical relation,
행렬,matrix, 行 列
행렬 대각선화,matrix diagonalization,
행렬요소,matrix element, 行列要素
행렬역학,matrix mechanics, 行列力學
마타우후의 분광기,Mattauch's spectrograph,マテァウフの分光器
매티아스의 규칙,Matthias' rule, マティアスの法則
매티센 규칙,Matthiessen rule, マナィ?センの規則
모페투이의 원리,Maupertuis's principle, モ-ペルテュイの原理
최대 관측가능량,maximal observable, 極大觀測量
"최대, 극대",maximum,最大
최고최저온도계,maximum and minimum thermometer, 最高最低溫度計
최대쓸림힘,maximum frictional force, 最大摩擦力
최대열효율,maximum heat efficiency,
최대확률법,maximum likelihood method, 最優法
최대 기준 방식,maximum normal mode, 最大基準振動
최대멎음쓸림힘,maximum static frictional force,
최고온도,maximum temperature,最大?度
최고온도계,maximum thermometer,
"최대값, 극대값",maximum value,
최대가동압력,maximum working pressure, 最高吸入壓
최고최저 온도계,maximum-minimum thermometer,
맥스웰<<자기다발의 단위>>,maxwell, マクスウェル【磁束の單位】
막스웰 몸체,Maxwell body, マクスウェル物體
"막스웰 둘레조건, 막스웰 경계조건",Maxwell boundary condition,
막스웰 분포,Maxwell distribution, マクスウェル分布
막스웰 모형,Maxwell model, マクスウェル模型
막스웰 분자,Maxwell molecule,マクスウェル分子
막스웰 관계(식),Maxwell relations, マクスゥェルの關係式
막스웰 변형력,Maxwell stress, マクスウェルの應力
막스웰-볼츠만 분포,Maxwell-Boltzmann distribution, マクスウェル·ボルツマン分布
막스웰-볼츠만 통계,Maxwell-Boltzmann statistics,
막스웰의 귀신,Maxwell's demon, マクスウェルのデモン
막스웰 방정식,Maxwell's equations, マクスウェルの方程式
속도분포의 막스웰의 법칙,Maxwell's law of velocity distribution, マクスウェルの速度分布則
막스웰의 관계(식),Maxwell's relation,マクスウェルの?係式
막스웰의 속도분포,Maxwell's velocity distribution,マクスウェルの速度分布
메이어 관계(식),Mayer relation, マイヤ?の關係
맥킨리-페쉬바하 공식,Mckinley-Feshbach scattering formula, マッキンレ?·フェッシュバッハの散亂公式
평균칼로리,mean calorie,平均カロリ?
"평균충돌시간, 평균부딪침시간",mean collision time, 平均衝突時間 / 平均誤差
평균분산,mean dispersion,
평균마당어림(법),mean field approximation, 平均場近似
평균마당이론,mean field theory,平均場理論
평균자유거리,mean free path, 乎均自由行程
평균자유시간,mean free time, 平均自由時間
평균도달거리,mean range, 平均飛程
평균변화율,mean ratio of change,平均?化率
평균항성시,mean sidereal time, 平均恒星時
평균태양일,mean solar day, 平均太陽日
평균 태양시,mean solar time, 平均太陽時
평균태양년,mean solar year,平均太陽年
평균 공어림법,mean spherical approximation,
평균 제곱 끝끝 거리,mean square end-to-end distance, 平均二乘鎖長
평균제곱요동,mean square fluctuation,
평균 제곱 반지름,mean square radius, 半均二乘半徑
평균제곱속도,mean square velocity,平均二?速度
평균값 정리,mean value theorem,
꼬부랑 엔트로피,meander entropy,
"잴 수 있는, 측정 가능, 가측",measurable,
"밞이, 잰 값, 척도, 치수, 계량",measure, 測 度
"측정, 재기",measurement, 測 定
밞이보존 흐름,measure-preserving flow,
측정실린더,measuring cylinder, メスシリンダ?
역학적 에너지,mechanical energy, (1)力學的エネルギ? (2)機械エネルギ?
역학적 에너지보존법칙,mechanical energy conservation law,
"역학적 평형, 역학적 비김",mechanical equilibrium,
"열의 일맞먹이, 열의 일해당량",mechanical equivalent of heat,熱の仕事?量
"빛의 일해당량, 빛의 일맞먹이",mechanical equivalent of light,光の仕事?量
역학 풀림,mechanical relaxation, 力學緩和
기계론적 자연관,mechanical world view of nature, 力學的自然觀
기계제작 에돌이발,mechanically ruled diffraction grating, 機械刻線回折格子
역학,mechanics, 力 學
질점계역학,mechanics of a system of material points,
강체역학,mechanics of rigid body,
"기구, 메커니즘, 얼개",mechanism,
역학-화학계,mechano-chemical system, メカノケミカルシステム
기계화학,mechanochemistry, メカノケミストリ?
기계전기변환,mechanoelectric conversion, 機械電氣變換
의전자공학,medical electronics,【ME】 醫用電子工學
매질,medium, (l)媒 質 (2)媒體
중간에너지 전자 에돌이,medium energy electron diffraction, 中遠電子線回折
매질 온도,medium temperature, 中 溫
중진공,medium vacuum, 中眞空
메가<<=10E6>>,mega,メガ
절연저항계,megohm meter, 絶緣抵抗計
마이스너 효과,Meissner effect, マイスナ??果
마이스너 덫,Meissner trap, マイスナ?トラップ
멜데의 실험,Melde's experiment, メルデの實驗
녹음자람,melt growth, 融液成長
"녹음, 융해",melting, 融 解
녹음 굽음선,melting curve, 融解曲線
용융,melting fusion,
"녹는점, 융해점",melting point, 融 點
막,membrane, 膜
막평형,membrane equilibrium, 膜平衡
막 퍼텐셜,membrane potential, 膜電位
막 구조,membrane structure, 膜構造
기억효과,memory effect, 記憶 ?果
기억함수,memory function,記憶??
"메니스커스, 초승달 모양",meniscus, メニスカス
수성,Mercury,水星
수은기압계,mercury barometer, 水銀氣壓計
"수은주, 수은기둥",mercury column,
수은퍼짐펌프,mercury diffusion pump, 水鏡擴散ポンプ
수은등,mercury lamp,
수은등 릴레이,mercury lamp relay,
수은압력계,mercury manometer, 水銀壓力計
수은정류기,mercury rectifier,
수은온도계,mercury thermometer, 水鏡溫度計
합류빔 방법,merging-beam method, 合流ビ?ム法
"날줄, 자오선, 경선",meridian, 子午線
"자오선고도, 날줄높이",meridian altitude,
"자오선고도법, 날줄 높이법",meridian altitude method,
"자오선각도, 날줄각도",meridian angle,
"자오환, 날줄둘레",meridian circle,子午環
자오선살,meridional ray, メリジオナル光線
메사 트랜지스터,mesa transistor, メサ型トランジスタ?
"메시<<단위>>, 체(눈), 그물(눈)",mesh,綱目
"중간자, 메존",meson, 中間子
중간자 생산공장,meson factory, メソンファクトリ?
"중간자마당, 메존마당",meson field,
중간자이론,meson theory, 中間子論
핵력의 중간자이론,meson theory of nuclear force,
중간자 원자,mesonic atom,
중간자 붕괴,mesonic decay, 中間子崩壞
"중시동역학, 중간보기동역학",mesoscopic dynamics,
"경심, 기울중심",metacenter, メタセンタ?(傾きの中心)
금속,metal,金?
금속구,metal ball,
"금속정류기, 건식정류기",metal rectifier,
금속꼭지,metal tip,
금속증기 레이저,metal vapor laser, 金屬蒸氣レ?ザ?
금속막 저항,metal-film resistor, 金屬皮膜抵抗器
금속-절연체 전이,metal-insulator transition, 金屬-絶緣體轉移
금속(성) 전도체,metallic conductor,
금속 결정,metallic crystal, 金屬結晶
고운 금속 알갱이,metallic fine particle, 金屬微粒子
금속상태,metallic state,金??態
금속온도계,metallic thermometer,金??度計
얇은 금속막,metallic thin film, 金屬薄膜
금속 원자가,metallic valence, 金屬原子價
금속현미경,metallurgical microscope, 金屬顯微鏡
금속공학,metallurgy, 金屬學
준자성,metamagnetism, メタ磁性
준안정,metastable,準安定
준안정원자,metastable atom, 準安定原子
준안정준위,metastable level,
준안정분자,metastable molecule, 準安定分子
준안정핵,metastable nucleus, 準安定核
준안정상,metastable phase, 準安定相
준안정상태,metastable state, 準安定狀態
"유성, 별똥별",meteor, 流 星
"운석, 별찌",meteorite, いん石
기상학,meteorology,?象?
"미터<<길이의 단위>>, 재개, 계기",meter, (1)メ?トル【長さの基本單位】(2)計 器 / メ?タ?
미터원기,meter standard,
결정투영법,method of crystal projection, 結晶投影法
허수성분법,method of imaginary part, 虛成分法
콘-섐의 방법,method of Kohn-Sham, コ?ン·シャムの方法
분자궤도법,method of molecular orbitals, 分子軌道法
부분파(동)방법,method of partial wave,
사영연산자 방법,method of projection operator, 射影演算子の方法
실수성분법,method of real part, 實成分法
최대 경사법,method of steepest descent, 最急降下法
가중된 나머지 방법,method of weighted residuals, 重みつき殘差法
계량,metric, 計 量
"계량공간, 거리공간",metric space, 距離空間
"미터법, 미터계",metric system, メ?トル法
계량텐서,metric tensor, 計量テンソル
메트로놈,metronome,
모<<전도도의 단위>>,mho, モ?【コンダクタンスの單位】
운모,mica,雲母
운모전기들이,mica capacitor, マイカコンデンサ?
운모 구조,mica structure,雲母構造
미셀 콜로이드,micelle colloid, ミセルコロイド
미셀 맺음변수,Michel parameter, ミシエルパラメ?タ?
마이켈슨 간섭계,Michelson interferometer, マイケルソン干涉計
마이켈슨 별빛간섭계,Michelson stellar interferometer, マイケルソン恒星干涉計
마이켈슨-모올리의 실험,Michelson-Morley's experiment, マイケルソン·モ?リ?の實驗.
마이크로<<=10E-6>>,micro,マイクロ/ミクロ
미량천칭,microbalance, 微量てんびん
미소기압계,microbarometer, 微氣壓計
미세 살다발,microbeam, マイクロビ?ム
미소-브라운 운동,micro-Brownian motion,
작은바른틀 분포,microcanonical distribution, 小正準分布
"작은바른틀 모듬, 마이크로 정준앙상블",microcanonical ensemble, 小正準集團
미세쬔양재기,microdose measurement, 微量線量測定
미세쬔양 재는법,microdosimetry, マイクロドシメトリ?
미소전극,micro-electrode, マイクロ電極
미소초점엑스선관,microfocus X-ray tube, 微小焦點X線管
미시 불안정성,microinstability, 微視的不安定性
미시 자기학,micromagnetics, ミクロ磁氣學
미소압력계,micromanometer, 微壓計
마이크로미터,micrometer, マイクロメ?タ?
마이크로미터 캘리퍼스,micrometer calipers,
마이크로미터 현미경,micrometer microscope, 測微顯微鏡
극미량천칭,micro-micro balance,
마이크론,micron,ミクロン
마이크로 광학,micro-optics, 微小光學
"송화기, 마이크로폰",microphone,マイクロホン
마이크로광도계,microphotometer,
"마이크로 눈금, 미소규모",microscale,
현미경,microscope, 顯微鏡
현미경 대물렌즈,microscope objective, 顯微鏡對物レンズ
미시적,microscopic, ミクロ / 微視的
미시적 인과성,microscopic causality,
"미시적 비가역성, 미시적 안되짚기성",microscopic irreversibility,
미시 라만분광학,microscopic Raman spectroscopy, 顯微ラマン分光
미동,microseisms, 脈 動【地磁氣の】
미시상태,microstate,
마이크로트론,microtron, マイクロトロン
마이크로파,microwave, マイクロ波
"마이크로파 흐름길, 마이크로파 회로",microwave circuit, 立體回路
마이크로파 다이오드,microwave diode, マイクロ波ダイオ-ド
마이크로파 가열,microwave heating, マイクロ波加熱
마이크로파 불안정성,microwave instability, マイクロ波不安定性
마이크로파 간섭계,microwave interferometry,
마이크로파 분광학,microwave spectroscopy, マイクロ波分光學
마이크로파 트랜지스터,microwave transistor, マイクロ波トランジスタ?
마이크로파 관,microwave tube, マイクロ波電子管
마이크로파 초음파,microwave ultrasound, マイクロ波超音波
중간적외선,mid infrared,
미 흩뜨림,Mie scattering, ミ?散亂
미그달 어림법,Migdal approximation, ミグダル近似
이동,migration,移動
이동전류,migration current,移動電流
이동에너지,migration energy, 移動エネルギ?
이동전위,migration potential,移動電位
은하수,milky way,
밀러 효과,Miller effect, ミラ??果
밀러 적분기,Miller integrator, ミラ?積分器
밀러의 실험,Miller's experiment, ミラ?の實驗
밀리<<=10E-3>>,milli,ミリ
밀리 암페어,milliampere,ミリアンペア
밀리컨의 기름방울실험,Millikan's oil drop experiment, ミリカンの油滴の實驗
광물질,mineral,
꼬마전구,miniature electric bulb,
최소 서로작용,minimal interaction, ミニマルな相互作用
최대최소 어림법,minimax approximation, ミニマックス近似
최대최소 결정,minimax decision, ミニマックス決定
최대최소 원리,minimax principle, ミニマックス原理
최소화 문제,minimization problem, 最小化問題
"최소, 극소",minimum,最小
최소편향,minimum deviation,最小偏角
최소에너지,minimum energy,最小エネルギ?
최소상 규약,minimum image convention,
최소이온화 손실,minimum ionization loss, 最小電離損失
최소 표면,minimum surface, 極小曲面
최저온도,minimum temperature,
최저온도계,minimum thermometer,
"최소값, 극소값",minimum value,
최소 파동묶음,minimum wave packet, 極小波束
최소 일,minimum work, 最小仕事
소행렬식,minor,
짧은 축,minor axis,
단음계,minor scale,
"소수나르개, 소수운반자",minority carrier, 少數キャリヤ?
분,minute, 分【時間·平面角の單位】
신기루,mirage,蜃??
거울,mirror,鏡
거울 자기마당,mirror field, ミラ?磁場
거울상,mirror image, 鏡 像
거울 기계,mirror machine,
거울핵,mirror nuclei, 鏡映核
거울핵종,mirror nuclide,鏡映核柱
거울자기마당비,mirror ratio, ミラ?比
"거울반사, 거울되비침",mirror reflection,
섞임도,miscibility,ミシビリティ
섞임도 간격,miscibility gap, ミシビリティギャップ
부정합 어긋나기,misfit dislocation, 不整合轉位
어긋남,mismatch,不整合
잃어버린 선,missing line, 缺 線
"잃은 질량, 불명질량",missing mass, ミッシングマス
혼합결정,mixed crystal, 混 晶
혼합 어긋나기,mixed dislocation, 混合轉位
혼합 내비침마당,mixed radiation field, 混合放射線場
"섞인 상태, 혼합상태",mixed state, 混合狀態
"섞인 텐서, 혼합텐서",mixed tensor,
섞인 원자가,mixed valence, 混合原子價
섞임,mixing, 混 合
섞임길이,mixing length, 混合距離
섞임계,mixing system,
혼합물,mixture, 混合物
엠케이에스 단위계,MKS system of unit,
이동실험대,mobile laboratory,
이동상,mobile phase,
이동도,mobility, 移動度《易動度》
이동도 끝,mobility edge, 移動度端
이동도비율,mobility ratio,
"방식 간섭잡음, 모드간섭잡음",modal noise, モ?ド雜音
"최빈값, 방식",mode, モ?ド
방식 결합,mode coupling, モ?ド結合
방식결합이론,mode coupling theory,モ?ド結合理論
방식 분포,mode distribution, モ?ド分布
모드잠김,mode locking, モ?ド同期
떨기의 방식,mode of vibration,
방식 모양,mode pattern, モ?ドパタ?ン
방식 끌기,mode pulling, モ?ドプリング
방식 밀기,mode pushing, モ?ドプッシング
방식 고르기,mode selection, モ?ド選擇
모형,model, 模 型 / モデル
방식-잠김식 레이저,mode-locked laser, モ?ド同期レ?ザ?
감속률,moderating ratio,減速率
감속제,moderator, 減速材
현대물리학,modern physics,現代物理?
변조,modulation, 變 調
변조지수,modulation index, 變調指數
변조방법,modulation method, 變調法【眞空計の】
변조 분광학,modulation spectroscopy, 變調分光法
변조기형 진공계,modulator type vacuum gauge, モジュレ?タ?ゲ?ジ
법,modulo,
변조 구조,modulrated structure, 變調構造
"모듈러스, 법, 율, 계수",modulus,モジュラス
"튐성율, 탄성율",modulus of elasticity, 彈性率(彈性係數)
"신장율, 늘어나기율",modulus of elongation,
강성률 계수,modulus of rigidity, 剛性率(せん斷彈性係數)
변형률,modulus of strain,
변조-첨가 구조,modulution-doped structure, 變調ド?プ構造
모팻의 소용돌이,Moffatt's vortex, モファット渦
모피트-양 방정식,Moffitt-Yang equation, モフィット·ヤンの式
"모스의 굳기, 모스의 경도",Mohs hardness, モ?ス硬さ
무아레 상 간섭 무늬,moir image interfernce,
촉촉한 열끊음 감소율,moist adiabatic lapse rate, 濕潤斷熱減率
몰 농도,mol concentration, モル濃度
분자압축율,molar compressibility, 分子壓縮率
몰농도,molar concentration,モル濃度
몰당 흡광곁수,molar extinction coefficient, モル吸光係數
몰비율,molar fraction, モル分率
몰비열,molar heat,
일정 압력에서의 몰비열,molar heat at constant pressure,
몰열용량,molar heat capacity,モル比熱
일정 압력에서의 몰비열 들이,molar heat capacity at constant pressure,
몰당 극갈림,molar polarization, モル分極
분자음속,molar sound velocity, モル音速度
몰당 자화율,molar susceptibility, モル磁化率
몰부피,molar volume, モル體積
몰,mole, モ ル【物質量の單位】
몰분율,mole fraction,
분자음향학,molecular acoustics, 分子音響學
분자 증폭기,molecular amplifier, 分子增幅器
분자살,molecular beam, 分子ビ?ム(分子線)
분자살 켜쌓기,molecular beam epitaxy,
분자살 자기 껴울림,molecular beam magnetic resonance, 分子線磁氣共鳴
분자살 메이저,molecular beam maser, 分子線メ?ザ-
분자살 분광학,molecular beam spectroscopy, 分子線分光學
"분자묶음, 분자결합",molecular binding,分子結合
분자 생물학,molecular biology, 分子生物學
분자혼돈,molecular chaos,
분자시계,molecular clock,
분자충돌,molecular collision, 分子衝突
분자조건,molecular condition, 分子條件
분자상수,molecular constant, 分子定數
분자결정,molecular crystal, 分子性結晶
